case_id,round,scope,status,evidence
D01,1,live-snapshot-and-source-provenance,PASS,round-1.md
D02,1,native-metrics-independent-readback,PASS,round-1.md
D03,1,message-path-causes-and-counterevidence,PASS,message-audit.md
D04,1,leaf-loop-and-four-execution-models,PASS,leaf-audit.md
D05,1,approval-and-recovery-causes-and-counterevidence,PASS,control-audit.md
D06,1,design-contracts-migration-and-adversarial-review,PASS,../../spec/runtime-execution-redesign.md
D07,1,new-architecture-native-prototype,NOT_RUN,../../spec/runtime-execution-redesign.md
D08,1,new-architecture-business-and-performance,NOT_RUN,../../spec/runtime-execution-redesign.md
D09,2,native-plugin-command-workflow-contract-audit,PASS,round-2.md
D10,2,code-workflow-and-input-change-design-review,PASS,../../spec/runtime-execution-redesign.md
D11,2,durable-node-runner-and-change-race-prototype,NOT_RUN,round-2.md
D06,3,design-contracts-migration-and-adversarial-review,FAIL,adversarial-review.md
D10,3,code-workflow-and-input-change-design-review,FAIL,adversarial-review.md
D12,3,native-per-record-silent-omission-reproduced,PASS,round-3/storage-probe.json
D13,3,adversarial-findings-closed,FAIL,adversarial-review.md
D06,4,design-contracts-migration-and-adversarial-review,PASS,round-4.md
D10,4,code-workflow-and-input-change-design-review,PASS,round-4.md
D13,4,adversarial-findings-runtime-closure,NOT_RUN,../../spec/runtime-execution-redesign-v2.md
D14,4,node-sqlite-api-availability-only,PASS,round-4.md
M0-S03-grant-scope,5,revoke-before-grant-original-counterexample,FAIL,round-5/store/run-XvwqzL/S03-grant-scope/evidence.json
M0-H01,5,native-host-identity-readback,PASS,round-5.md
M0-H02,5,native-file-write-confinement,PASS,round-5.md
M0-H03,5,native-read-network-production-isolation,FAIL,round-5.md
M0-S01-config-reopen,6,store-prototype-S01-config-reopen,PASS,round-6.md
M0-S02-command-idempotence,6,store-prototype-S02-command-idempotence,PASS,round-6.md
M0-S03-grant-scope,6,store-prototype-S03-grant-scope,PASS,round-6.md
M0-S04-stop-before-start,6,store-prototype-S04-stop-before-start,PASS,round-6.md
M0-S05-start-before-stop,6,store-prototype-S05-start-before-stop,PASS,round-6.md
M0-S06-global-fence,6,store-prototype-S06-global-fence,PASS,round-6.md
M0-S07-commit-lost-ack,6,store-prototype-S07-commit-lost-ack,PASS,round-6.md
M0-S08-precommit-process-kill,6,store-prototype-S08-precommit-process-kill,PASS,round-6.md
M0-S09-effect-before-result,6,store-prototype-S09-effect-before-result,PASS,round-6.md
