"case","round","scenario","status","evidence","boundary"
"T01","1","A1、B1、A2 同 turn 交错","PENDING","round-1.md","本地自动化，真实DWS另验"
"T02","1","下一 turn 延续 A","PENDING","round-1.md","本地自动化，真实DWS另验"
"T03","1","A 候选生成后到达已归类 B","PENDING","round-1.md","本地自动化，真实DWS另验"
"T04","1","A 候选生成后到达 A 的纠正","PENDING","round-1.md","本地自动化，真实DWS另验"
"T05","1","候选后到达尚未归类输入","PENDING","round-1.md","本地自动化，真实DWS另验"
"T06","1","一条消息要求两个话题暂停","PENDING","round-1.md","本地自动化，真实DWS另验"
"T07","1","两 Topic 影响同一 Task","PENDING","round-1.md","本地自动化，真实DWS另验"
"T08","1","多 Task 引用同一 Topic","PENDING","round-1.md","本地自动化，真实DWS另验"
"T09","1","同 Topic 致谢/闲聊","PENDING","round-1.md","本地自动化，真实DWS另验"
"T10","1","无关话题 A 决策/提交失败","PENDING","round-1.md","本地自动化，真实DWS另验"
"T11","1","意图写入前/后、Outbox 后、Task 写入后断进程","PENDING","round-1.md","本地自动化，真实DWS另验"
"T12","1","动作落地但处理游标未更新","PENDING","round-1.md","本地自动化，真实DWS另验"
"T13","1","运行中目标/验收/纯事实补充变化","PENDING","round-1.md","本地自动化，真实DWS另验"
"T14","1","steer 成功但叶子未消费","PENDING","round-1.md","本地自动化，真实DWS另验"
"T15","1","完成验收期间 Topic 更新或 Task 重开","PENDING","round-1.md","本地自动化，真实DWS另验"
"T16","1","多参与人、多 Topic 的 Task 结果","PENDING","round-1.md","本地自动化，真实DWS另验"
"T17","1","同 Topic 不同结论；不同 Topic 同文回复","PENDING","round-1.md","本地自动化，真实DWS另验"
"T18","1","附件失败后重启及附件恢复","PENDING","round-1.md","本地自动化，真实DWS另验"
"T19","1","明确 @ 别人后引用转交 Agent","PENDING","round-1.md","本地自动化，真实DWS另验"
"T20","1","Web 创建/续接/重开；审批回复","PENDING","round-1.md","本地自动化，真实DWS另验"
"T21","1","首次历史导入与实时补拉","PENDING","round-1.md","本地自动化，真实DWS另验"
"T22","3","配置切换、退订、进程关闭","FAIL","round-3/full-tests.log","关闭与切换测试夹具等待不足，第四轮修复后复跑"
"T23","1","v6 真实形态脱敏副本迁移及再次运行迁移","PENDING","round-1.md","本地自动化，真实DWS另验"
"T24","1","旧来源缺失/冲突及旧提交失败","PENDING","round-1.md","本地自动化，真实DWS另验"
"T25","1","大量历史 Topic 与高频入站","PENDING","round-1.md","本地自动化，真实DWS另验"
"T26","1","Topic 误归类后修订","PENDING","round-1.md","本地自动化，真实DWS另验"
"T27","1","完成/检查点审阅期间另一个 Topic 持续输入","PENDING","round-1.md","本地自动化，真实DWS另验"
