case_id,round_1,round_2,round_3,round_4
M01,NOT_RUN,PASS,NOT_RUN,NOT_RUN
M02,NOT_RUN,PASS,NOT_RUN,NOT_RUN
M03,NOT_RUN,PASS,NOT_RUN,NOT_RUN
M04,NOT_RUN,PASS,NOT_RUN,NOT_RUN
M05,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M06,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M07,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M08,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M09,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M10,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
M11,NOT_RUN,PASS,NOT_RUN,NOT_RUN
M12,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T01,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T02,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T03,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T04,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T05,NOT_RUN,PASS,NOT_RUN,NOT_RUN
T06,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T07,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T08,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
T09,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
G01,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
G02,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
G03,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN
R01,NOT_RUN,NOT_RUN,FAIL,NOT_RUN
R02,NOT_RUN,NOT_RUN,FAIL,NOT_RUN
F01,NOT_RUN,NOT_RUN,NOT_RUN,PASS
F02,NOT_RUN,NOT_RUN,NOT_RUN,PASS
F03,NOT_RUN,NOT_RUN,NOT_RUN,PASS
N01,NOT_RUN,NOT_RUN,NOT_RUN,PASS
N02,NOT_RUN,NOT_RUN,NOT_RUN,PASS
N03,NOT_RUN,NOT_RUN,NOT_RUN,PASS
N04,NOT_RUN,NOT_RUN,NOT_RUN,PASS
L01,NOT_RUN,NOT_RUN,NOT_RUN,PASS
