case,description,round-1,round-2,notes
F01,running与真实叶子状态及不可用恢复,PASS,PASS,PR92已有恢复反例；全量回归通过
F02,阶段修订在预约前原子拒绝,PASS,PASS,PR93已有原子拒绝与纠正反例
F03,Goal结束与Task结构化报告收口,PASS,PASS,原生生命周期与Task报告门禁测试通过
F04,长作业等待不耗尽Goal轮次,PASS,PASS,审阅等待由gate停放且协调提醒有上限
F05,不同业务需求不按相似标题串线,PASS,PASS,来源/effectOwner/整体语义约束及独立任务现场记录
F06,需求条目映射到验收项,PASS,PASS,相关业务任务已以matrix/report收口；不由通用插件强制开发字段
F07,UI交互不以静态显示替代,PASS,PASS,相关业务任务已有真实页面交互证据；完成审阅限制证据边界
F08,声明源码与运行制品一致,PASS,PASS,UAT3纠正任务已定位缓存根因并以PR349和真实页面复验
F09,完成结论不超过验证证据,PASS,PASS,完成审阅和通知均要求保留未验证边界
F10,替换消息不被撤回失败阻塞且永久错误止损,PASS,PASS,PR93现有DWS与Outbox反例通过
F11,普通与完成回复使用同一路由规则,FAIL,PASS,新增共享replyRouting与省略at反例
F12,完成报告恢复不重复业务执行,PASS,PASS,PR93现有submission恢复与通知幂等反例通过
F13,被替代协调请求持久落终态,FAIL,PASS,新增superseded终态及完成/失效账测试
F14,恢复告警去重且解决后不污染健康,FAIL,PASS,新增稳定身份聚合；旧结果竞态不计当前故障
F15,源码包流程验证实际消费,PASS,PASS,UAT流程revision5且UAT3 PR349/Woodpecker289已实证消费
F16,生产流程不把无关本地Docker当依赖,PASS,PASS,生产流程revision5固定Tag/源码包/Woodpecker并明确禁止临时Docker
F17,批准动作与限制文本冲突不直接恢复,FAIL,PASS,批准绑定requestedAction；冲突必须scope-conflict
F18,用户免除的验证不继续形成阻塞,PASS,PASS,生产发布任务已按免业务E2E范围completed
F19,搜索与编辑保护的执行约束,PASS,PASS,本轮限定仓库使用rg和apply_patch且保留版本保护
F20,PR证据提前取证和file-line格式,PASS,PASS,本轮验收证据先于PR并按write-pr流程交付
F21,辅助经验归档失败不阻塞业务交付,PASS,PASS,辅助归档不属于Task完成门禁
F22,新增终态不导致看板崩溃,PASS,PASS,PR94及Observer状态全量测试通过
