case,scenario,round1,round2,round3,round4,round5,round6,status,evidence
T01,same-topic-intent-refresh,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t01
T02,independent-topic-intent,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t02
T03,one-topic-multiple-tasks,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t03
T04,partial-command-preservation,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t04
T05,edited-source-fact-invalidation,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t05
T06,multi-workflow-task-owner,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t06
T07,duplicate-command-idempotency,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t07
T08,task-cancel-between-stages,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t08
T09,control-lane-during-routing-block,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t09
T10,affected-suffix-only,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t10
T11,approval-invalidated-by-target-change,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t11
T12,owner-decision-version-race,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t12
T13,unsupported-general-completion,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t13
T14,default-general-capability,TODO,TODO,PARTIAL,PARTIAL,TODO,TODO,PARTIAL,round-4.md#t14
T15,typed-general-handoff,TODO,PASS,TODO,TODO,TODO,TODO,PASS,round-2.md#t15
T16,dynamic-engineering-source-proof,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t16
T17,independent-uat-deploy-and-rebuild,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t17
T18,later-stage-report,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t18
T19,short-followup-reuses-task-context,TODO,PASS,TODO,TODO,TODO,TODO,PASS,round-2.md#t19
T20,precise-report-correction,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t20
T21,unknown-send-readback-recovery,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t21
T22,owner-turn-crash-recovery,PARTIAL,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t22
T23,missing-vs-damaged-session,PARTIAL,PASS,TODO,TODO,TODO,TODO,PASS,round-2.md#t23
T24,cancel-with-unknown-effect,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t24
T25,human-approval-boundaries,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t25
T26,task-completion-vs-delivery,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t26
T27,sqlite-migration-check,PASS,PASS,TODO,TODO,TODO,TODO,PASS,round-1.md#t27
T28,large-topic-and-event-backlog,TODO,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t28
T29,unauthorized-followup-and-forged-approval,PARTIAL,TODO,PASS,TODO,TODO,TODO,PASS,round-3.md#t29
T30,definition-digest-and-runtime-restart,TODO,TODO,PARTIAL,PASS,TODO,TODO,PASS,round-4.md#t30
W01,atomic-task-owner-and-intent-boundary,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w01
W02,research-only-plan,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w02
W03,research-design-develop-real-uat,TODO,TODO,TODO,TODO,PARTIAL,TODO,PARTIAL,round-5.md#w03
W04,cross-task-general-capability,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w04
W05,stage-success-not-task-complete,TODO,TODO,TODO,TODO,PASS,PASS,PASS,round-6.md#w05
W06,new-requirement-plan-fence,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w06
W07,nonadjacent-pr-source-handoff,TODO,TODO,TODO,TODO,PARTIAL,TODO,PARTIAL,round-5.md#w07
W08,merge-policy-and-head-drift,TODO,TODO,TODO,TODO,PASS,PASS,PASS,round-6.md#w08
W09,merge-timeout-readback,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w09
W10,direct-uat-deployment,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w10
W11,approval-object-binding,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w11
W12,report-refresh-and-fence,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w12
W13,markdown-effect-recovery,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w13
W14,zero-stage-owner-recovery,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w14
W15,live-v4-migration-ledger,TODO,TODO,TODO,TODO,PASS,TODO,PASS,round-5.md#w15
W16,insufficient-investigation-evidence,TODO,TODO,TODO,TODO,PASS,PASS,PASS,round-6.md#w16
R01,owner-stage-artifact-read,TODO,TODO,TODO,TODO,TODO,PASS,PASS,round-6.md#r01
R02,professional-completion-limitations,TODO,TODO,TODO,TODO,TODO,PASS,PASS,round-6.md#r02
R03,web-context-task-revision,TODO,TODO,TODO,TODO,TODO,PASS,PASS,round-6.md#r03
R04,legacy-requirement-binding,TODO,TODO,TODO,TODO,TODO,PASS,PASS,round-6.md#r04
R05,uat-merge-without-approval,TODO,TODO,TODO,TODO,TODO,PASS,PASS,round-6.md#r05
