"id","category","requirement","status","reason","evidence"
"GEN-001","通用","先读再改：已核对当前分支实现、实际接口、现场 schema 和目标环境，不以 PRD、历史总结或记忆代替当前事实。","PASS","已读取前置设计、当前源码、HTTP/Domain契约及已安装glob实现","../../spec/plugin-performance-flow-plan.md; search/report.md"
"GEN-002","通用","已明确当前项目名称、代码仓库、业务对象、目标、验收标准及排除项；项目专属要求（含技术栈、数据库策略、交付环境与分支约定）仅在项目和实际影响范围匹配时采用，未将其他项目的约定套用到当前项目；个人技能产物、个人目录、私有账号或本机工具路径未被当作通用验收前提，资源与记录入口以当前用户或项目已确认配置为准；未因名称相近而混用不同需求，未将分析授权扩大为修改或发布授权。","PASS","范围为钉钉DSH插件；保持原主仓与运行profile不变，未扩大为部署","goal.md"
"GEN-003","通用","代码精确编辑，只修改必要部分；未夹带无关重构、格式化、顺手修复或其他任务的改动。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"GEN-004","通用","优先检索并复用同类实现；新增文件、组件或公共抽象有明确必要性，不存在重复实现。","PASS","复用retry、Domain、Outbox及原生Session；新模块分别承载计量、会话和受限资源读取","../../spec/plugin-performance-flow-plan.md; packages/dingtalk-dsh-assistant/coordination-sessions.js"
"GEN-005","通用","不存在过度设计；未增加未经需求支持的兼容分支、兜底链路、配置项或“以后可能用到”的抽象。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"GEN-006","通用","优先使用框架、语言的原生能力，未用手工拼接、解析等方式重复实现现有能力。","PASS","使用原生Session/Goal/subprocess、Node URL/path/stat及rg；未替代底层能力","search/report.md; packages/dingtalk-dsh-assistant/runtime.js"
"GEN-007","通用","所有结论均有可核验证据，已区分观察事实、推断和未验证项；未把工具成功回执、无报错或未找到反例当作完成证明。","PASS","分离本地结果、超时样本、人工标注缺口、未部署与未观测收益","round-1.md; search/report.md"
"GEN-008","通用","修复针对已核实的根因，未通过静默跳过、吞错、绕过校验或修改测试预期来掩盖问题。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
"GEN-009","通用","代码、日志、文档、测试夹具和交付材料未写入明文凭据、token 或未脱敏的敏感数据。","PASS","搜索结果保存集合数量与SHA256；指标不保存正文/参数；原审计业务正文未复制","search/results.json; packages/dingtalk-dsh-assistant/performance.js"
"GEN-010","通用","完成后检查同因问题、关联场景、受阻功能及新引入的影响；授权范围内闭环，范围外明确说明，不擅自扩展修改。","PASS","本地代码与原生反例已验证；保留真实流量、人工真值及外部检索未达标边界，不宣称业务指标达成","round-8.md; round-8-tests.log; test/coordination-native-lifecycle.test.js; matrix.csv"
